"Song Name" "Zero Crossing Rate Variance" "Spectral Centroid Mean" "Spectral Centroid Variance" "Spectral Rolloff Mean" "Spectral Rolloff Variance" "Root Mean Square Mean" "File Path" Category "Table Number"
"Whatever It Is" 0.0021921180415091805 1927.201572577479 743906.6290713234 4235.59401348577 4070510.2882307675 0.20942554 media/country/Whatever_It_Is__Greatest_Hits_Version_.mp3 country 10
"Next Thing You Know" 0.0025913822293427645 1766.1025757173518 1014616.0540570784 3837.84717655894 5540143.248176485 0.1425179 media/country/Jordan_Davis___Next_Thing_You_Know__Official_Lyric_Video_.mp3 country 10
"Take It From Me" 0.002832432115226387 2647.156195822706 567185.2496960512 5715.36996964928 2502909.201565172 0.31294534 media/country/Jordan_Davis___Take_It_From_Me__Official_Audio_.mp3 country 10
"Up Down (feat. Florida Georgia Line)" 0.00312483508830227 2441.672101439977 534940.2918341389 5061.455983388023 2466378.212706824 0.2989674 media/country/Morgan_Wallen___Up_Down__Audio_Only__ft._Florida_Georgia_Line.mp3 country 10
"Missing You" 0.00560059986846301 2333.8723389128836 1288881.7326701889 5309.938696289062 5612811.362378049 0.25462174 media/country/Hunter_Hayes___Missing_You__Official_Lyric_Video_.mp3 country 10
"Jesus, Take the Wheel" 0.004908909222325944 2401.6447897490507 852191.3607915136 5177.0831114252305 3476168.217902023 0.22836588 media/country/Jesus__Take_the_Wheel.mp3 country 10
Sixteen 0.003994666325964533 2307.9973331058036 900095.0257378021 5041.4832587106175 3649211.7869984484 0.22274004 media/country/Sixteen.mp3 country 10
"Five More Minutes" 0.001464742189964164 1883.9544809001832 507417.05790363206 4030.5820774861013 3236746.5766309295 0.24165598 media/country/Scotty_McCreery___Five_More_Minutes__Audio_.mp3 country 10
"Cowboy Take Me Away" 0.001867177762648026 2206.2724654698686 428085.27937401127 4550.7680308329445 2240031.032437414 0.16799557 media/country/The_Chicks___Cowboy_Take_Me_Away__Official_Video_.mp3 country 10
"Colder Weather" 0.00430335958567183 1925.7337423897388 910886.9387156426 3932.4131270071116 3923961.0647254493 0.13507058 media/country/Colder_Weather.mp3 country 10
"Want It Again" 0.0023626193816897777 1701.3400836867404 834663.2052377684 3685.04873208895 4519048.213209538 0.19934084 media/country/Thomas_Rhett___Want_It_Again__Lyric_Video_.mp3 country 10
"Something in the Orange" 0.005098286331166955 1987.0111794369213 1073648.3932234566 4235.611332183935 4766282.351140384 0.20912825 media/country/Zach_Bryan___Something_In_The_Orange.mp3 country 10
"Love Triangle" 0.0051442094116540375 2042.3030594170107 1115544.821437049 4265.23225313513 4624259.940727587 0.059316095 media/country/RaeLynn___Love_Triangle__Official_.mp3 country 10
"Gunpowder & Lead" 0.002803971058945296 2283.890872737466 458374.8675310023 4514.454553293627 2008927.2483935498 0.26091582 media/country/Gunpowder___Lead.mp3 country 10
Tequila 0.002331928880939944 1992.5778807173308 620107.3717023197 4357.4876578974645 3108205.930222313 0.24968925 media/country/Dan___Shay___Tequila__Icon_Video_.mp3 country 10
"Meant to Be (feat. Florida Georgia Line)" 0.0058975604555580605 2537.584834613593 987127.3128588777 5251.544775594501 3624411.0264245383 0.19123437 media/country/Bebe_Rexha___Meant_to_Be__feat._Florida_Georgia_Line___Official_Music_Video_.mp3 country 10
Margaritaville 0.0017765306543644607 1922.4961622046283 464931.5559668195 4100.674082840883 2453059.79160552 0.06478148 media/country/Jimmy_Buffett___Margaritaville__Audio_.mp3 country 10
"I Want Crazy - Encore" 0.0036308651902074445 2618.1082953655487 625817.2262340094 5537.19300114526 2404196.2975297025 0.23148975 media/country/Hunter_Hayes___I_Want_Crazy__Full_Lyric_Video__HQ.mp3 country 10
"One Number Away" 0.0039413811505613836 2271.848199070444 693327.2281979554 4693.771627799053 2841706.7764539584 0.19927691 media/country/Luke_Combs___One_Number_Away__Audio_.mp3 country 10
"Big Green Tractor" 0.0015448590839681204 1983.3877806341816 496469.4937795624 4232.695847414852 2645834.069873559 0.17026338 media/country/Jason_Aldean___Big_Green_Tractor__Lyric_Video_.mp3 country 10
"Singles You Up" 0.005064563000734057 2690.8166278447393 814105.515844482 5754.091100660026 3125139.38034084 0.2767706 media/country/Jordan_Davis___Singles_You_Up__Official_Audio_.mp3 country 10
"7 Summers" 0.0016900499253252486 1796.9934655428242 538316.2760242287 3777.224817096858 3468521.2714413614 0.30790815 media/country/Morgan_Wallen___7_Summers__Audio_Only_.mp3 country 10
"What’s Your Country Song" 0.003524853753774976 2627.778530563874 833025.8128312764 5741.496455204951 3603821.5466778614 0.24011023 media/country/Thomas_Rhett___What_s_Your_Country_Song__Audio_.mp3 country 10
Toes 0.0028043381460630848 1810.9025059309488 784017.0111428794 3842.7546714668842 3919259.4302004324 0.23954876 media/country/Toes__Greatest_Hits_Version_.mp3 country 10
"If I Die Young" 0.005377969360691136 2427.7830168420883 938844.1693576801 5127.646155733942 3164760.3662571893 0.19114466 media/country/The_Band_Perry___If_I_Die_Young__Audio_.mp3 country 10
"American Honey" 0.004224333948873263 2127.339498120201 666398.7526578527 4575.406571655589 2592986.918081989 0.21792065 media/country/American_Honey.mp3 country 10
"Sunrise, Sunburn, Sunset" 0.006481603609113059 2615.743034168345 1045291.9035148551 5445.178172959744 4061060.7916108705 0.08458047 media/country/Luke_Bryan___Sunrise__Sunburn__Sunset__Official_Lyric_Video_.mp3 country 10
"Lost My Heartbreak" 0.003659320192460808 2236.869473501474 824290.2537822988 4987.77523884128 4139019.57717448 0.2372192 media/country/Lost_My_Heartbreak___David_J.mp3 country 10
"Kick The Dust Up" 0.008648886614382408 2598.012485578229 1072875.653573777 5453.286281399409 3553454.444645354 0.27604213 media/country/Luke_Bryan___Kick_The_Dust_Up__Official_Audio_.mp3 country 10
"That's My Kind Of Night" 0.0032614789272448624 2498.698319755096 652360.0888217649 5310.11972735005 2976957.364781938 0.25300097 media/country/That_s_My_Kinda_Night__Audio_Only_.mp3 country 10
Landslide 0.0021243918383974853 1896.1591037497371 572774.0920159587 3877.0229189439183 3040474.2997458894 0.18800278 media/country/The_Chicks___Landslide__Official_Video_.mp3 country 10
"Burn, Burn, Burn" 0.002689464776899979 1469.4225023669176 760233.0915835522 2942.984814545874 4136910.967571192 0.16632465 media/country/Zach_Bryan___Burn__Burn__Burn__Lyrics_.mp3 country 10
"Die A Happy Man" 0.003515020501583411 1853.6860178920988 897944.6131713225 3996.28357357449 4471549.817781466 0.046346776 media/country/Thomas_Rhett___Die_A_Happy_Man__Lyric_Video_.mp3 country 10
"Two Black Cadillacs" 0.0030368319326741474 1895.2725374970946 967037.9065762114 3926.731543956498 5016104.148746097 0.18434633 media/country/Carrie_Underwood___Two_Black_Cadillacs.mp3 country 10
"Chasin' You" 0.003865397756803913 1878.166110598095 964664.5069999307 3898.0853960691124 4580410.059809198 0.3070292 media/country/Morgan_Wallen___Chasin__You__Audio_Only_.mp3 country 10
"More Than My Hometown" 0.0017993005544378288 1753.8976413074606 540799.83565043 3516.3005237640677 3332962.1088945977 0.2848131 media/country/Morgan_Wallen___More_Than_My_Hometown__Audio_Only_.mp3 country 10
"Save a Horse (Ride a Cowboy)" 0.003581645841087129 2489.3581735727 509518.01757771353 4829.688193197066 2135696.985952674 0.2871405 media/country/Save_a_horse__Ride_A_Cowboy_.mp3 country 10
Castaway 0.0039490677128523445 2442.8403165015347 645610.1808282677 5244.798059964939 2149794.409411716 0.11960138 media/country/Zac_Brown_Band___Castaway__Official_Audio_.mp3 country 10
"Angels (Don’t Always Have Wings)" 0.004036083879932186 1932.883535337323 1040011.6473878651 4005.4894186141532 4632280.778053114 0.26485738 media/country/Thomas_Rhett___Angels__Don_t_Always_Have_Wings___Audio_.mp3 country 10
"Knee Deep (feat. Jimmy Buffett)" 0.0029219263040970787 1920.5756787919054 821734.2983204785 4273.88923828125 4527326.163245434 0.191376 media/country/Knee_Deep__feat._Jimmy_Buffett_.mp3 country 10
"Star Of The Show" 0.004626770230476188 2251.9299562346705 1056731.0661579634 4764.796566160322 4198273.5503674615 0.09515533 media/country/Thomas_Rhett___Star_Of_The_Show.mp3 country 10
"As She's Walking Away (feat. Alan Jackson)" 0.002709745737823691 2011.6622854649088 713627.7430031112 4301.540379444688 3314144.6407124638 0.08603037 media/country/Zac_Brown_Band___As_She_s_Walking_Away_ft_Alan_Jackson__Official_Music_Video_.mp3 country 10
"Buy Dirt" 0.0029548471559100306 1899.4283006819273 899191.3361995855 3940.8313116847544 4102752.612458689 0.24863392 media/country/Jordan_Davis___Buy_Dirt__Official_Audio__ft._Luke_Bryan.mp3 country 10
"Make Me Wanna" 0.0022277640680914467 2263.1119885935123 507398.7125312593 4819.203280959842 2331725.2836301043 0.22946912 media/country/Make_Me_Wanna.mp3 country 10
"Tennessee Orange" 0.001113611621615588 1638.8162203377449 354898.3484737384 3465.7641267123286 2071931.0872704484 0.24768233 media/country/Megan_Moroney___Tennessee_Orange.mp3 country 10
"Goodbye Girl" 0.0021063629821145903 1572.6493036565362 636307.8139523553 3444.3238429183725 3606738.8892187364 0.24306771 media/country/Goodbye_Girl.mp3 country 10
"Knockin' Boots" 0.007932528379495778 2513.371383103335 1231813.5652562834 5068.7176506599435 3586556.3303114288 0.22009324 media/country/Luke_Bryan___Knockin__Boots__Official_Audio_.mp3 country 10
"Whiskey Glasses" 0.002928692829279749 1959.4722541461101 767090.0481847337 4014.1287460054996 3984522.5181987383 0.2821045 media/country/Morgan_Wallen___Whiskey_Glasses__Audio_Only_.mp3 country 10
"Crash My Party" 0.0029974423966678426 2462.0684509236044 604679.3376925617 5372.238833804606 2556203.9277690984 0.24207552 media/country/Crash_My_Party___Luke_Bryan.mp3 country 10
"What My World Spins Around" 0.0035580742627115895 2402.7706246228486 855091.5706019453 5286.997052058995 3994167.193213935 0.2215216 media/country/Jordan_Davis___What_My_World_Spins_Around__Official_Audio_Video_.mp3 country 10
"Forever After All" 0.002143714851309079 2030.115852132618 681648.2188809232 4247.000274658203 3521361.8035549056 0.2685589 media/country/Luke_Combs___Forever_After_All__Audio_.mp3 country 10
"One Thing At A Time" 0.0024644138287316826 2058.5288726946924 545544.4684645873 4239.649377450997 2515550.1418130165 0.27967158 media/country/Morgan_Wallen___One_Thing_At_A_Time__Lyric_Video_.mp3 country 10
"One Margarita" 0.004343552507626835 2443.521757830105 796108.1647901313 5221.487947232017 3117933.7867984627 0.16768563 media/country/Luke_Bryan___One_Margarita__Official_Music_Video_.mp3 country 10
"Cowboy Casanova" 0.0024879823886786367 2808.3974823010662 384530.47839883185 6166.523542069453 1566312.916870492 0.26246297 media/country/Carrie_Underwood___Cowboy_Casanova.mp3 country 10
Hurricane 0.0019276785711862536 2116.8354759962854 490414.23792126856 4407.047231399349 2596922.3155732965 0.27972966 media/country/Luke_Combs___Hurricane__Lyric_Video_.mp3 country 10
"Sunshine & Whiskey" 0.007635900534290946 2473.583969451452 1195709.6748297215 5168.943090801849 4066286.5683910656 0.19127676 media/country/Frankie_Ballard_Sunshine_Whiskey_Official_Audio.mp3 country 10
Boyfriend 0.004855406915131219 2194.038694760446 942584.3270989314 4481.829687196955 3775548.181995075 0.2525658 media/country/Boyfriend.mp3 country 10
"Honky Tonk Highway" 0.0019038268584508457 1982.5692695840612 401231.5981983832 4173.790520816351 2004731.2751957085 0.25974116 media/country/Luke_Combs___Honky_Tonk_Highway__Audio_.mp3 country 10
"Cowgirls Don't Cry" 0.002224566071470326 2334.6862678321895 419210.7568054353 4746.532100554436 2037728.249660168 0.20792045 media/country/Brooks___Dunn___Cowgirls_Don_t_Cry__Official_Video__ft._Reba_McEntire.mp3 country 10
"Most People Are Good" 0.00264371292207568 2030.2567133118605 709527.9061769762 4501.401555448031 3203557.553101333 0.067491025 media/country/Luke_Bryan___Most_People_Are_Good__Official_Lyric_Video_.mp3 country 10
"Beer Never Broke My Heart" 0.0030969483794257226 2351.3131880146084 459171.0533959842 4945.615599141319 2214402.6341836913 0.23767306 media/country/Luke_Combs___Beer_Never_Broke_My_Heart__Audio_.mp3 country 10
"I Don't Want This Night To End" 0.0032468828246497794 2537.753693272475 620203.0377145889 5613.03219102679 2281482.8058292503 0.26542762 media/country/Luke_Bryan___I_Don_t_Want_This_Night_To_End__Audio_Only_.mp3 country 10
"Last Night" 0.005177852096128119 2105.852422331829 953312.6896357221 3966.19662533101 3518993.0259603527 0.2271988 media/country/Morgan_Wallen___Last_Night__Audio_Only_.mp3 country 10
"Fishin' in the Dark" 0.003862850652118382 2592.027820854025 732470.4421925877 5372.499667398576 3036703.0094158864 0.050830893 media/country/Nitty_Gritty_Dirt_Band___Fishin__In_The_Dark__Official_Audio_.mp3 country 10
"Goodbye Earl" 0.0019966430927965888 2649.929841193289 454255.79222596576 5747.614559577606 2408527.1161906286 0.19194905 media/country/The_Chicks___Goodbye_Earl__Official_Video_.mp3 country 10
"Drink In My Hand" 0.003016812090603307 2600.9925459389874 446783.96485737414 5338.759233182328 1743101.4518498527 0.21986604 media/country/Drink_in_My_Hand___Eric_Church.mp3 country 10
"Wanna Be That Song" 0.005153429220071641 2227.415154308881 890059.0488292219 4602.68433880066 3124391.676298738 0.23235482 media/country/Brett_Eldredge___Wanna_Be_That_Song__Official_Audio_.mp3 country 10
T-Shirt 0.0038407376071642424 2671.2938971017056 554569.1190807077 5683.08911595766 1898910.9178601236 0.25658986 media/country/Thomas_Rhett___T_Shirt__Lyric_Video_.mp3 country 10
"I Like It, I Love It" 0.0034260454170358715 2908.247633510883 431265.91295920295 5932.572976672046 1527355.9301142518 0.2211192 media/country/I_Like_It__I_Love_It.mp3 country 10
"Gone Country" 0.0035522514628229486 2417.091574881928 671255.3928576405 5005.6241718414185 2813649.3143417393 0.20345108 media/country/Gone_Country.mp3 country 10
"Wagon Wheel" 0.0020629590201938016 2078.9192305012903 358310.19075303356 4288.455597899688 1668180.3060120246 0.19487488 media/country/Darius_Rucker_Wagon_Wheel.mp3 country 10
Breathe 0.0045627575821416974 2368.058281325756 804886.304378602 5213.91474914981 3924720.7614665134 0.1811102 media/country/Breathe__2007_Remaster_.mp3 country 10
"What Hurts The Most" 0.00434770421626074 2525.4018435397384 812864.2709214308 5510.228579960976 3407412.823356933 0.1204625 media/country/What_Hurts_The_Most___Rascal_Flatts.mp3 country 10
Chattahoochee 0.0028935991690970495 2216.245144507098 611795.5696182824 4462.679575932211 2646218.699171808 0.12580392 media/country/Chattahoochee.mp3 country 10
"Lost In The Country" 0.0031602792822673143 2465.368776807616 875603.3777899438 5411.622805959517 4465119.870136075 0.18445629 media/country/Tori_Martin_What_Would_Dolly_Do_Official_Music_Video.mp3 country 10
"Check Yes Or No" 0.0023030317785263064 2145.2839838782234 537842.1855198493 4484.777483432145 2281131.408703444 0.12613824 media/country/Check_Yes_Or_No.mp3 country 10
"Boot Scootin' Boogie" 0.004469433082656758 2151.1079289815384 539369.144239212 4361.176104063562 2285321.9754887586 0.2335034 media/country/Boot_Scootin__Boogie.mp3 country 10
"How Do You Like Me Now?!" 0.0026625115537846963 2511.9171430861447 426936.7213480757 5026.429779651578 2292095.9878429216 0.18100193 media/country/Toby_Keith__How_Do_You_Like_Me_Now.mp3 country 10
"What The Hell Did I Say" 0.0027600776509858053 2108.825536237764 529536.3023861371 4537.052025867523 2425798.1008231863 0.2739258 media/country/Dierks_Bentley___What_The_Hell_Did_I_Say__Official_Music_Video_.mp3 country 10
"Sober Saturday Night (feat. Vince Gill)" 0.002889905070183361 1892.4126280087385 654440.7246706453 3682.8148113905327 2704075.222489556 0.18921065 media/country/Sober_Saturday_Night__feat._Vince_Gill___Official_Lyric_Video_.mp3 country 10
"My Maria" 0.0028311513699307866 2551.7675132450177 345880.93896623194 5212.394945714325 1335944.6958602164 0.2325763 media/country/My_Maria.mp3 country 10
"Two Dozen Roses" 0.0034290394984746674 2537.4340891372085 632073.5609811187 5416.743091056062 2612364.1540185865 0.087977566 media/country/Two_Dozen_Roses.mp3 country 10
"Whiskey Lullaby" 0.002580969797971514 1848.7398720333895 717007.9458372862 4145.006705892306 4703379.606511672 0.1561899 media/country/Whiskey_Lullaby.mp3 country 10
"I'm Comin' Over" 0.0020359995851269787 2008.1412047988188 627973.5225931254 4103.627536152518 3031486.2127007754 0.24872069 media/country/Chris_Young___I_m_Comin__Over__Official_Lyric_Video_.mp3 country 10
"What Would Dolly Do?" 0.0031602792822673143 2465.368776807616 875603.3777899438 5411.622805959517 4465119.870136075 0.18445629 media/country/Tori_Martin_What_Would_Dolly_Do_Official_Music_Video.mp3 country 10
"I'll Be The Moon" 0.004092738814356373 1789.2891127911555 813591.3588232629 3817.4553563114573 3641359.632066247 0.09132127 media/country/Dierks_Bentley___I_ll_Be_The_Moon_ft._Maren_Morris__Official_Music_Video_.mp3 country 10
"Let It Ride" 0.003127860854838553 2477.9217445659474 639233.1068471535 5412.324345203061 2838127.1035719346 0.23002712 media/country/Let_It_Ride.mp3 country 10
Sangria 0.002290097844597008 1967.8383269994063 736323.7715624181 4168.921241554054 3469393.0702139763 0.06160963 media/country/Blake_Shelton___Sangria__Official_Music_Video_.mp3 country 10
"Home Alone Tonight" 0.004128808769882253 2489.4413647497176 705421.1572813404 5158.433747440486 2736508.967804872 0.3087708 media/country/Luke_Bryan___Home_Alone_Tonight_ft._Karen_Fairchild__Official_Lyric_Video_.mp3 country 10
"What If I Stay" 0.0021226975590543746 1697.2037034571813 680088.3084399713 3429.1029639114427 3270255.7819557865 0.23295693 media/country/Chris_Young___What_If_I_Stay__Official_Lyric_Video_.mp3 country 10
"Head Over Boots" 0.0029864486543392183 2134.1872827035113 517841.5623733613 4704.213508287488 2634939.226243777 0.2414306 media/country/Jon_Pardi___Head_Over_Boots__Official_Lyric_Video_.mp3 country 10
"Perfect Storm" 0.0016131242335732366 1954.436267456412 382308.9960134423 4184.403900788738 1964932.7884794928 0.20461725 media/country/Brad_Paisley___Perfect_Storm.mp3 country 10
Smile 0.003482455025514931 2179.2462841448314 712610.3707893611 4609.5205078125 3741689.4035271346 0.20285907 media/country/Lonestar___Smile.mp3 country 10
"Wake up Loving You" 0.0021880960414758475 1952.7915945589891 718936.3009850812 4053.2905469309635 3740084.643203809 0.09986262 media/country/Old_Dominion___Wake_Up_Lovin__You.mp3 country 10
"Drunk on Your Love" 0.002858707606867943 2436.832647650791 421618.6133945073 4945.8680203573895 1364417.829548823 0.1974015 media/country/Brett_Eldredge___Drunk_On_Your_Love__Official_Audio_.mp3 country 10
"The Driver" 0.004923282566083666 1746.8540729720826 865568.7315436824 3641.6356881552124 4041305.854223086 0.18887614 media/country/Charles_Kelley___The_Driver__Audio__ft._Dierks_Bentley__Eric_Paslay.mp3 country 10
Backwards 0.00654420571828783 2333.79430110565 1069381.27318357 4902.349671406364 4435795.289579626 0.2345613 media/country/I_Fall_Apart.mp3 country 10
"Came Here to Forget" 0.002062233852179085 1798.7115894032409 602700.6147242099 3696.028236887563 2723924.3256837735 0.06952862 media/country/Blake_Shelton___Came_Here_To_Forget__Official_Music_Video_.mp3 country 10
"I Know a Guy" 0.0016729644130538234 1798.5598301399175 630182.0932444369 3737.4227053694017 3285382.9125784184 0.2108627 media/country/Chris_Young___I_Know_a_Guy__Official_Lyric_Video_.mp3 country 10
Tomorrow 0.0017335682514650545 1944.3070042062468 415783.9228928892 4011.1758009205832 2415191.4429847603 0.056165393 media/country/Chris_Young___Tomorrow__Official_Video_.mp3 country 10
"Buy Me a Boat" 0.0015277820137090652 2015.7955008881277 495829.76408425113 4258.602549314128 2953681.9003457255 0.18301255 media/country/Chris_Janson__Buy_Me_A_Boat_Official_Video.mp3 country 10
"Highway Don't Care" 0.0022346633722135694 2002.6097282767125 778079.3294826268 4376.956580249069 4146255.597283769 0.07671178 media/country/Tim_McGraw___Highway_Don_t_Care_ft._Taylor_Swift__Keith_Urban.mp3 country 10
"How I'll Always Be" 0.0015004077030395047 2065.237258173025 455168.4994683404 4368.021572278458 2446735.554224818 0.12417367 media/country/Tim_McGraw___How_I_ll_Always_Be__Official_Audio_.mp3 country 10
Springsteen 0.0022616889733511497 1811.9929724968852 575080.4081208097 3869.1161162509643 2577327.0855100127 0.26406193 media/country/Eric_Church___Springsteen.mp3 country 10
"Somewhere On A Beach" 0.005711275510975746 2224.5716856801955 778461.9120142149 4622.058284108231 2883152.3948972956 0.2514052 media/country/Dierks_Bentley___Somewhere_On_A_Beach__Official_Audio_.mp3 country 10
"Mine Would Be You" 0.002406415375039254 1927.452197804323 564663.4164523712 4086.6012090575273 2637902.779695369 0.19441345 media/country/Blake_Shelton___Mine_Would_Be_You__Official_Audio_.mp3 country 10
"Gettin' You Home" 0.0015077492536163318 1856.1032862232655 381061.3782651122 3886.4255158797555 2402751.7201653584 0.22524671 media/country/Chris_Young___Gettin__You_Home__Official_Video_.mp3 country 10
Ride 0.002696281935705781 2175.599419588728 728824.0558819812 4796.586443757357 3919672.4605997885 0.1912127 media/country/Chase_Rice___Ride_ft._Macy_Maloy.mp3 country 10
Black 0.001816438914026709 1801.21701201959 600060.3566020747 3931.864180027808 3159730.1386649976 0.056921355 media/country/Dierks_Bentley___Black__Official_Music_Video_.mp3 country 10
"Alone Tonight" 0.0016366520922921624 2070.791120903286 412799.2229748364 4282.726424622242 1955879.442342693 0.20913261 media/country/Chris_Young___Alone_Tonight__Official_Lyric_Video_.mp3 country 10
